time	V(n009)
7.686896324000880e-03	8.288896e-01
7.716361861719978e-03	9.120905e-01
7.732832276472479e-03	9.442375e-01
7.747918427569722e-03	9.631907e-01
7.764226280813524e-03	9.730087e-01
7.788153018260413e-03	9.670683e-01
7.826896323781529e-03	9.168589e-01
7.866896323781347e-03	8.174528e-01
7.906896323781165e-03	6.699327e-01
7.946896323780983e-03	4.813963e-01
7.986896323780801e-03	2.616666e-01
8.026896323780619e-03	2.281055e-02
8.066896323780437e-03	-2.211568e-01
8.106896323780255e-03	-4.549718e-01
8.146896323780073e-03	-6.631762e-01
8.186896323779891e-03	-8.350538e-01
8.216361861636212e-03	-9.327102e-01
8.232832276367841e-03	-9.704688e-01
8.247918427581435e-03	-9.896980e-01
8.264226280818132e-03	-9.955716e-01
8.288153018267685e-03	-9.849616e-01
8.326896323793243e-03	-9.357904e-01
8.366896323793060e-03	-8.392007e-01
8.406896323792878e-03	-6.858611e-01
8.446896323792696e-03	-4.822578e-01
8.486896323792514e-03	-2.455629e-01
8.526896323792332e-03	5.575910e-03
8.566896323792150e-03	2.534041e-01
8.606896323791968e-03	4.815155e-01
8.646896323791786e-03	6.758091e-01
8.686896323791604e-03	8.288826e-01
8.716361861640820e-03	9.120836e-01
8.732832276373781e-03	9.442306e-01
8.747918427581602e-03	9.631838e-01
8.764226280817855e-03	9.730019e-01
8.788153018267408e-03	9.670615e-01
8.826896323792521e-03	9.168522e-01
8.866896323792339e-03	8.174462e-01
8.906896323792157e-03	6.699261e-01
8.946896323791975e-03	4.813898e-01
8.986896323791793e-03	2.616602e-01
9.026896323791611e-03	2.280415e-02
9.066896323791429e-03	-2.211631e-01
9.106896323791247e-03	-4.549780e-01
9.146896323791065e-03	-6.631824e-01
9.186896323790883e-03	-8.350600e-01
9.216361861640543e-03	-9.327165e-01
9.232832276373504e-03	-9.704756e-01
9.247918427580881e-03	-9.897054e-01
9.264226280817578e-03	-9.955796e-01
9.288153018266687e-03	-9.849699e-01
9.326896323791800e-03	-9.357985e-01
9.366896323791618e-03	-8.392078e-01
9.406896323791436e-03	-6.858673e-01
9.446896323791254e-03	-4.822636e-01
9.486896323791072e-03	-2.455685e-01
9.526896323790890e-03	5.570457e-03
9.566896323790708e-03	2.533987e-01
9.606896323790526e-03	4.815102e-01
9.646896323790344e-03	6.758040e-01
9.686896323790162e-03	8.288775e-01
9.716361861640266e-03	9.120786e-01
9.732832276373227e-03	9.442256e-01
9.747918427581048e-03	9.631789e-01
9.764226280817745e-03	9.729970e-01
9.788153018266854e-03	9.670566e-01
9.826896323791967e-03	9.168473e-01
9.866896323791785e-03	8.174413e-01
9.906896323791603e-03	6.699213e-01
9.946896323791421e-03	4.813851e-01
9.986896323791239e-03	2.646015e-01
1.000000000000023e-02	1.883741e-01
