time	V(vo)	V(n009)
7.686896323792158e-03	9.222474e-01	8.289464e-01
7.716361861640930e-03	9.698239e-01	9.121463e-01
7.732832276373891e-03	9.818879e-01	9.442928e-01
7.747918427580824e-03	9.825901e-01	9.632456e-01
7.764226280817965e-03	9.729714e-01	9.730633e-01
7.788153018267518e-03	9.392333e-01	9.671225e-01
7.826896323793520e-03	8.458179e-01	9.169124e-01
7.866896323793338e-03	7.046736e-01	8.175058e-01
7.906896323793156e-03	5.197162e-01	6.699939e-01
7.946896323792974e-03	2.998468e-01	4.814718e-01
7.986896323792791e-03	5.722155e-02	2.617418e-01
8.026896323792609e-03	-1.934600e-01	2.287472e-02
8.066896323792427e-03	-4.358532e-01	-2.210998e-01
8.106896323792245e-03	-6.532568e-01	-4.549181e-01
8.146896323792063e-03	-8.300741e-01	-6.631241e-01
8.186896323791881e-03	-9.575538e-01	-8.350022e-01
8.216361861640653e-03	-1.015857e+00	-9.326590e-01
8.232832276374058e-03	-1.031133e+00	-9.704182e-01
8.247918427581435e-03	-1.032543e+00	-9.896481e-01
8.264226280818132e-03	-1.021386e+00	-9.955224e-01
8.288153018267685e-03	-9.812871e-01	-9.849132e-01
8.326896323793243e-03	-8.707607e-01	-9.357426e-01
8.366896323793060e-03	-7.069525e-01	-8.391529e-01
8.406896323792878e-03	-4.987147e-01	-6.858132e-01
8.446896323792696e-03	-2.606629e-01	-4.822106e-01
8.486896323792514e-03	-9.508629e-03	-2.455166e-01
8.526896323792332e-03	2.379845e-01	5.621163e-03
8.566896323792150e-03	4.663046e-01	2.534482e-01
8.606896323791968e-03	6.622046e-01	4.815584e-01
8.646896323791786e-03	8.153644e-01	6.758509e-01
8.686896323791604e-03	9.222143e-01	8.289234e-01
8.716361861640820e-03	9.697911e-01	9.121236e-01
8.732832276373781e-03	9.818553e-01	9.442703e-01
8.747918427581602e-03	9.825577e-01	9.632232e-01
8.764226280817855e-03	9.729392e-01	9.730410e-01
8.788153018267408e-03	9.392012e-01	9.671003e-01
8.826896323792521e-03	8.457861e-01	9.168906e-01
8.866896323792339e-03	7.046421e-01	8.174841e-01
8.906896323792157e-03	5.196850e-01	6.699724e-01
8.946896323791975e-03	2.998158e-01	4.814506e-01
8.986896323791793e-03	5.719076e-02	2.617207e-01
9.026896323791611e-03	-1.934906e-01	2.285377e-02
